model,task,lang_a,lang_b,n_aligned,acc_a,acc_b,acc_diff,b_a_right_b_wrong,c_a_wrong_b_right,n_discordant,chi2,p_value,significant,direction,odds_ratio,cohens_h
llama3.1-8b,commonsense,hi,zh,500,0.828,0.914,-0.086,18,61,79,22.3291,2e-06,True,Chinese > Hindi,0.2951,0.26
llama3.1-8b,commonsense,de,hi,500,0.916,0.828,0.088,64,20,84,22.0119,3e-06,True,German > Hindi,3.2,0.2672
llama3.1-8b,commonsense,fi,hi,500,0.718,0.828,-0.11,41,96,137,21.2847,4e-06,True,Hindi > Finnish,0.4271,0.2644
llama3.1-8b,commonsense,fr,tr,500,0.906,0.822,0.084,62,20,82,20.5,6e-06,True,French > Turkish,3.1,0.2479
llama3.1-8b,commonsense,fi,tr,500,0.718,0.822,-0.104,46,98,144,18.0625,2.1e-05,True,Turkish > Finnish,0.4694,0.2486
llama3.1-8b,commonsense,fr,hi,500,0.906,0.828,0.078,60,21,81,17.8272,2.4e-05,True,French > Hindi,2.8571,0.2321
llama3.1-8b,commonsense,ar,fi,500,0.818,0.718,0.1,100,50,150,16.0067,6.3e-05,True,Arabic > Finnish,2.0,0.2382
llama3.1-8b,commonsense,hi,sw,500,0.828,0.736,0.092,92,46,138,14.6739,0.000128,True,Hindi > Swahili,2.0,0.2239
llama3.1-8b,commonsense,sw,tr,500,0.736,0.822,-0.086,48,91,139,12.6906,0.000367,True,Turkish > Swahili,0.5275,0.2082
llama3.1-8b,commonsense,ar,sw,500,0.818,0.736,0.082,87,46,133,12.0301,0.000523,True,Arabic > Swahili,1.8913,0.1977
llama3.1-8b,commonsense,fi,ko,500,0.718,0.798,-0.08,50,90,140,10.8643,0.00098,True,Korean > Finnish,0.5556,0.1874
llama3.1-8b,commonsense,ko,sw,500,0.798,0.736,0.062,86,55,141,6.383,0.011522,True,Korean > Swahili,1.5636,0.147
llama3.1-8b,commonsense,en,fr,500,0.934,0.906,0.028,32,18,50,3.38,0.065992,False,English > French,1.7778,0.1036
llama3.1-8b,commonsense,es,fr,500,0.932,0.906,0.026,30,17,47,3.0638,0.080053,False,Spanish > French,1.7647,0.0956
llama3.1-8b,commonsense,en,zh,500,0.934,0.914,0.02,27,17,44,1.8409,0.174844,False,English > Chinese,1.5882,0.0756
llama3.1-8b,commonsense,hi,ko,500,0.828,0.798,0.03,61,46,107,1.8318,0.175918,False,Hindi > Korean,1.3261,0.077
llama3.1-8b,commonsense,de,en,500,0.916,0.934,-0.018,13,22,35,1.8286,0.176296,False,English > German,0.5909,0.0685
llama3.1-8b,commonsense,es,zh,500,0.932,0.914,0.018,23,14,37,1.7297,0.188445,False,Spanish > Chinese,1.6429,0.0676
llama3.1-8b,commonsense,de,es,500,0.916,0.932,-0.016,17,25,42,1.1667,0.280087,False,Spanish > German,0.68,0.0605
llama3.1-8b,commonsense,ko,tr,500,0.798,0.822,-0.024,53,65,118,1.0254,0.311236,False,Turkish > Korean,0.8154,0.0612
llama3.1-8b,commonsense,ar,ko,500,0.818,0.798,0.02,66,56,122,0.6639,0.415174,False,Arabic > Korean,1.1786,0.0508
llama3.1-8b,commonsense,fi,sw,500,0.718,0.736,-0.018,73,82,155,0.4129,0.5205,False,Swahili > Finnish,0.8902,0.0404
llama3.1-8b,commonsense,de,fr,500,0.916,0.906,0.01,22,17,39,0.4103,0.521839,False,German > French,1.2941,0.0351
llama3.1-8b,commonsense,fr,zh,500,0.906,0.914,-0.008,19,23,42,0.2143,0.643429,False,Chinese > French,0.8261,0.028
llama3.1-8b,commonsense,ar,hi,500,0.818,0.828,-0.01,52,57,109,0.1468,0.701623,False,Hindi > Arabic,0.9123,0.0262
llama3.1-8b,commonsense,hi,tr,500,0.828,0.822,0.006,57,54,111,0.036,0.849441,False,Hindi > Turkish,1.0556,0.0158
llama3.1-8b,commonsense,ar,tr,500,0.818,0.822,-0.004,54,56,110,0.0091,0.92404,False,Turkish > Arabic,0.9643,0.0104
llama3.1-8b,commonsense,de,zh,500,0.916,0.914,0.002,21,20,41,0.0,1.0,False,German > Chinese,1.05,0.0072
llama3.1-8b,commonsense,en,es,500,0.934,0.932,0.002,20,19,39,0.0,1.0,False,English > Spanish,1.0526,0.008
llama3.3-70b,commonsense,ar,hi,500,0.99,0.954,0.036,18,0,18,16.0556,6.2e-05,True,Arabic > Hindi,inf,0.232
llama3.3-70b,commonsense,en,hi,500,0.986,0.954,0.032,16,0,16,14.0625,0.000177,True,English > Hindi,inf,0.1951
llama3.3-70b,commonsense,hi,tr,500,0.954,0.984,-0.03,1,16,17,11.5294,0.000685,True,Turkish > Hindi,0.0625,0.1786
llama3.3-70b,commonsense,hi,zh,500,0.954,0.984,-0.03,1,16,17,11.5294,0.000685,True,Chinese > Hindi,0.0625,0.1786
llama3.3-70b,commonsense,es,hi,500,0.982,0.954,0.028,16,2,18,9.3889,0.002183,True,Spanish > Hindi,8.0,0.1632
llama3.3-70b,commonsense,hi,ko,500,0.954,0.982,-0.028,2,16,18,9.3889,0.002183,True,Korean > Hindi,0.125,0.1632
llama3.3-70b,commonsense,fr,hi,500,0.984,0.954,0.03,18,3,21,9.3333,0.00225,True,French > Hindi,6.0,0.1786
llama3.3-70b,commonsense,de,hi,500,0.982,0.954,0.028,17,3,20,8.45,0.00365,True,German > Hindi,5.6667,0.1632
llama3.3-70b,commonsense,fi,hi,500,0.982,0.954,0.028,17,3,20,8.45,0.00365,True,Finnish > Hindi,5.6667,0.1632
llama3.3-70b,commonsense,ar,sw,500,0.99,0.976,0.014,7,0,7,5.1429,0.023342,True,Arabic > Swahili,inf,0.1108
llama3.3-70b,commonsense,hi,sw,500,0.954,0.976,-0.022,5,16,21,4.7619,0.029096,True,Swahili > Hindi,0.3125,0.1212
llama3.3-70b,commonsense,en,sw,500,0.986,0.976,0.01,6,1,7,2.2857,0.13057,False,English > Swahili,6.0,0.0739
llama3.3-70b,commonsense,ar,de,500,0.99,0.982,0.008,4,0,4,2.25,0.133614,False,Arabic > German,inf,0.0688
llama3.3-70b,commonsense,ar,ko,500,0.99,0.982,0.008,4,0,4,2.25,0.133614,False,Arabic > Korean,inf,0.0688
llama3.3-70b,commonsense,ar,es,500,0.99,0.982,0.008,5,1,6,1.5,0.220671,False,Arabic > Spanish,5.0,0.0688
llama3.3-70b,commonsense,ar,fi,500,0.99,0.982,0.008,5,1,6,1.5,0.220671,False,Arabic > Finnish,5.0,0.0688
llama3.3-70b,commonsense,ar,fr,500,0.99,0.984,0.006,3,0,3,1.3333,0.248213,False,Arabic > French,inf,0.0533
llama3.3-70b,commonsense,ar,tr,500,0.99,0.984,0.006,3,0,3,1.3333,0.248213,False,Arabic > Turkish,inf,0.0533
llama3.3-70b,commonsense,ar,zh,500,0.99,0.984,0.006,3,0,3,1.3333,0.248213,False,Arabic > Chinese,inf,0.0533
llama3.3-70b,commonsense,ko,sw,500,0.982,0.976,0.006,3,0,3,1.3333,0.248213,False,Korean > Swahili,inf,0.042
llama3.3-70b,commonsense,fr,sw,500,0.984,0.976,0.008,6,2,8,1.125,0.288844,False,French > Swahili,3.0,0.0574
llama3.3-70b,commonsense,sw,tr,500,0.976,0.984,-0.008,2,6,8,1.125,0.288844,False,Turkish > Swahili,0.3333,0.0574
llama3.3-70b,commonsense,sw,zh,500,0.976,0.984,-0.008,2,6,8,1.125,0.288844,False,Chinese > Swahili,0.3333,0.0574
llama3.3-70b,commonsense,fi,sw,500,0.982,0.976,0.006,4,1,5,0.8,0.371093,False,Finnish > Swahili,4.0,0.042
llama3.3-70b,commonsense,de,sw,500,0.982,0.976,0.006,5,2,7,0.5714,0.449692,False,German > Swahili,2.5,0.042
llama3.3-70b,commonsense,es,sw,500,0.982,0.976,0.006,5,2,7,0.5714,0.449692,False,Spanish > Swahili,2.5,0.042
llama3.3-70b,commonsense,ar,en,500,0.99,0.986,0.004,2,0,2,0.5,0.4795,False,Arabic > English,inf,0.0369
llama3.3-70b,commonsense,en,ko,500,0.986,0.982,0.004,3,1,4,0.25,0.617075,False,English > Korean,3.0,0.0319
llama3.3-70b,commonsense,es,fi,500,0.982,0.982,0.0,2,2,4,0.25,0.617075,False,tie,1.0,0.0
llama3.3-70b,commonsense,tr,zh,500,0.984,0.984,0.0,2,2,4,0.25,0.617075,False,tie,1.0,0.0
llama3.3-70b,commonsense,de,en,500,0.982,0.986,-0.004,2,4,6,0.1667,0.683091,False,English > German,0.5,0.0319
llama3.3-70b,commonsense,de,ko,500,0.982,0.982,0.0,3,3,6,0.1667,0.683091,False,tie,1.0,0.0
llama3.3-70b,commonsense,en,es,500,0.986,0.982,0.004,4,2,6,0.1667,0.683091,False,English > Spanish,2.0,0.0319
llama3.3-70b,commonsense,en,fi,500,0.986,0.982,0.004,4,2,6,0.1667,0.683091,False,English > Finnish,2.0,0.0319
llama3.3-70b,commonsense,es,ko,500,0.982,0.982,0.0,3,3,6,0.1667,0.683091,False,tie,1.0,0.0
llama3.3-70b,commonsense,fi,ko,500,0.982,0.982,0.0,3,3,6,0.1667,0.683091,False,tie,1.0,0.0
llama3.3-70b,commonsense,fr,tr,500,0.984,0.984,0.0,3,3,6,0.1667,0.683091,False,tie,1.0,0.0
llama3.3-70b,commonsense,fr,zh,500,0.984,0.984,0.0,3,3,6,0.1667,0.683091,False,tie,1.0,0.0
llama3.3-70b,commonsense,de,es,500,0.982,0.982,0.0,4,4,8,0.125,0.723674,False,tie,1.0,0.0
llama3.3-70b,commonsense,de,fi,500,0.982,0.982,0.0,4,4,8,0.125,0.723674,False,tie,1.0,0.0
llama3.3-70b,commonsense,de,fr,500,0.982,0.984,-0.002,2,3,5,0.0,1.0,False,French > German,0.6667,0.0155
llama3.3-70b,commonsense,de,tr,500,0.982,0.984,-0.002,3,4,7,0.0,1.0,False,Turkish > German,0.75,0.0155
llama3.3-70b,commonsense,de,zh,500,0.982,0.984,-0.002,2,3,5,0.0,1.0,False,Chinese > German,0.6667,0.0155
llama3.3-70b,commonsense,en,fr,500,0.986,0.984,0.002,3,2,5,0.0,1.0,False,English > French,1.5,0.0165
llama3.3-70b,commonsense,en,tr,500,0.986,0.984,0.002,2,1,3,0.0,1.0,False,English > Turkish,2.0,0.0165
llama3.3-70b,commonsense,en,zh,500,0.986,0.984,0.002,2,1,3,0.0,1.0,False,English > Chinese,2.0,0.0165
llama3.3-70b,commonsense,es,fr,500,0.982,0.984,-0.002,4,5,9,0.0,1.0,False,French > Spanish,0.8,0.0155
llama3.3-70b,commonsense,es,tr,500,0.982,0.984,-0.002,1,2,3,0.0,1.0,False,Turkish > Spanish,0.5,0.0155
llama3.3-70b,commonsense,es,zh,500,0.982,0.984,-0.002,3,4,7,0.0,1.0,False,Chinese > Spanish,0.75,0.0155
llama3.3-70b,commonsense,fi,fr,500,0.982,0.984,-0.002,4,5,9,0.0,1.0,False,French > Finnish,0.8,0.0155
llama3.3-70b,commonsense,fi,tr,500,0.982,0.984,-0.002,2,3,5,0.0,1.0,False,Turkish > Finnish,0.6667,0.0155
llama3.3-70b,commonsense,fi,zh,500,0.982,0.984,-0.002,2,3,5,0.0,1.0,False,Chinese > Finnish,0.6667,0.0155
llama3.3-70b,commonsense,fr,ko,500,0.984,0.982,0.002,3,2,5,0.0,1.0,False,French > Korean,1.5,0.0155
llama3.3-70b,commonsense,ko,tr,500,0.982,0.984,-0.002,2,3,5,0.0,1.0,False,Turkish > Korean,0.6667,0.0155
llama3.3-70b,commonsense,ko,zh,500,0.982,0.984,-0.002,3,4,7,0.0,1.0,False,Chinese > Korean,0.75,0.0155
llama4-scout,commonsense,ar,en,500,0.98,0.774,0.206,105,2,107,97.2336,0.0,True,Arabic > English,52.5,0.707
llama4-scout,commonsense,de,en,500,0.984,0.774,0.21,108,3,111,97.4414,0.0,True,German > English,36.0,0.7372
llama4-scout,commonsense,en,es,500,0.774,0.988,-0.214,2,109,111,101.2252,0.0,True,Spanish > English,0.0183,0.7713
llama4-scout,commonsense,en,fi,500,0.774,0.98,-0.206,3,106,109,95.4495,0.0,True,Finnish > English,0.0283,0.707
llama4-scout,commonsense,en,fr,500,0.774,0.982,-0.208,3,107,110,96.4455,0.0,True,French > English,0.028,0.7217
llama4-scout,commonsense,en,hi,500,0.774,0.98,-0.206,4,107,111,93.7297,0.0,True,Hindi > English,0.0374,0.707
llama4-scout,commonsense,en,ko,500,0.774,0.972,-0.198,3,102,105,91.4667,0.0,True,Korean > English,0.0294,0.6546
llama4-scout,commonsense,en,sw,500,0.774,0.986,-0.212,2,108,110,100.2273,0.0,True,Swahili > English,0.0185,0.7536
llama4-scout,commonsense,en,tr,500,0.774,0.986,-0.212,2,108,110,100.2273,0.0,True,Turkish > English,0.0185,0.7536
llama4-scout,commonsense,en,zh,500,0.774,0.986,-0.212,2,108,110,100.2273,0.0,True,Chinese > English,0.0185,0.7536
llama4-scout,commonsense,es,ko,500,0.988,0.972,0.016,11,3,14,3.5,0.061369,False,Spanish > Korean,3.6667,0.1167
llama4-scout,commonsense,ko,sw,500,0.972,0.986,-0.014,3,10,13,2.7692,0.096092,False,Swahili > Korean,0.3,0.099
llama4-scout,commonsense,ko,tr,500,0.972,0.986,-0.014,3,10,13,2.7692,0.096092,False,Turkish > Korean,0.3,0.099
llama4-scout,commonsense,ko,zh,500,0.972,0.986,-0.014,3,10,13,2.7692,0.096092,False,Chinese > Korean,0.3,0.099
llama4-scout,commonsense,de,ko,500,0.984,0.972,0.012,9,3,12,2.0833,0.148915,False,German > Korean,3.0,0.0826
llama4-scout,commonsense,es,fi,500,0.988,0.98,0.008,5,1,6,1.5,0.220671,False,Spanish > Finnish,5.0,0.0643
llama4-scout,commonsense,fr,ko,500,0.982,0.972,0.01,11,6,17,0.9412,0.331975,False,French > Korean,1.8333,0.0671
llama4-scout,commonsense,ar,es,500,0.98,0.988,-0.008,3,7,10,0.9,0.342782,False,Spanish > Arabic,0.4286,0.0643
llama4-scout,commonsense,es,hi,500,0.988,0.98,0.008,7,3,10,0.9,0.342782,False,Spanish > Hindi,2.3333,0.0643
llama4-scout,commonsense,hi,sw,500,0.98,0.986,-0.006,1,4,5,0.8,0.371093,False,Swahili > Hindi,0.25,0.0466
llama4-scout,commonsense,hi,zh,500,0.98,0.986,-0.006,1,4,5,0.8,0.371093,False,Chinese > Hindi,0.25,0.0466
llama4-scout,commonsense,ar,ko,500,0.98,0.972,0.008,9,5,14,0.6429,0.422678,False,Arabic > Korean,1.8,0.0525
llama4-scout,commonsense,fi,ko,500,0.98,0.972,0.008,9,5,14,0.6429,0.422678,False,Finnish > Korean,1.8,0.0525
llama4-scout,commonsense,hi,ko,500,0.98,0.972,0.008,9,5,14,0.6429,0.422678,False,Hindi > Korean,1.8,0.0525
llama4-scout,commonsense,ar,sw,500,0.98,0.986,-0.006,2,5,7,0.5714,0.449692,False,Swahili > Arabic,0.4,0.0466
llama4-scout,commonsense,ar,tr,500,0.98,0.986,-0.006,2,5,7,0.5714,0.449692,False,Turkish > Arabic,0.4,0.0466
llama4-scout,commonsense,ar,zh,500,0.98,0.986,-0.006,2,5,7,0.5714,0.449692,False,Chinese > Arabic,0.4,0.0466
llama4-scout,commonsense,es,fr,500,0.988,0.982,0.006,5,2,7,0.5714,0.449692,False,Spanish > French,2.5,0.0496
llama4-scout,commonsense,hi,tr,500,0.98,0.986,-0.006,2,5,7,0.5714,0.449692,False,Turkish > Hindi,0.4,0.0466
llama4-scout,commonsense,fi,sw,500,0.98,0.986,-0.006,3,6,9,0.4444,0.504985,False,Swahili > Finnish,0.5,0.0466
llama4-scout,commonsense,fi,tr,500,0.98,0.986,-0.006,3,6,9,0.4444,0.504985,False,Turkish > Finnish,0.5,0.0466
llama4-scout,commonsense,fi,zh,500,0.98,0.986,-0.006,4,7,11,0.3636,0.546494,False,Chinese > Finnish,0.5714,0.0466
llama4-scout,commonsense,de,es,500,0.984,0.988,-0.004,1,3,4,0.25,0.617075,False,Spanish > German,0.3333,0.0341
llama4-scout,commonsense,de,fi,500,0.984,0.98,0.004,4,2,6,0.1667,0.683091,False,German > Finnish,2.0,0.0301
llama4-scout,commonsense,de,hi,500,0.984,0.98,0.004,4,2,6,0.1667,0.683091,False,German > Hindi,2.0,0.0301
llama4-scout,commonsense,fr,zh,500,0.982,0.986,-0.004,2,4,6,0.1667,0.683091,False,Chinese > French,0.5,0.0319
llama4-scout,commonsense,sw,tr,500,0.986,0.986,0.0,3,3,6,0.1667,0.683091,False,tie,1.0,0.0
llama4-scout,commonsense,sw,zh,500,0.986,0.986,0.0,3,3,6,0.1667,0.683091,False,tie,1.0,0.0
llama4-scout,commonsense,tr,zh,500,0.986,0.986,0.0,3,3,6,0.1667,0.683091,False,tie,1.0,0.0
llama4-scout,commonsense,ar,de,500,0.98,0.984,-0.004,3,5,8,0.125,0.723674,False,German > Arabic,0.6,0.0301
llama4-scout,commonsense,ar,hi,500,0.98,0.98,0.0,4,4,8,0.125,0.723674,False,tie,1.0,0.0
llama4-scout,commonsense,fr,sw,500,0.982,0.986,-0.004,3,5,8,0.125,0.723674,False,Swahili > French,0.6,0.0319
llama4-scout,commonsense,fr,tr,500,0.982,0.986,-0.004,3,5,8,0.125,0.723674,False,Turkish > French,0.6,0.0319
llama4-scout,commonsense,ar,fi,500,0.98,0.98,0.0,5,5,10,0.1,0.75183,False,tie,1.0,0.0
llama4-scout,commonsense,fi,hi,500,0.98,0.98,0.0,6,6,12,0.0833,0.77283,False,tie,1.0,0.0
llama4-scout,commonsense,ar,fr,500,0.98,0.982,-0.002,4,5,9,0.0,1.0,False,French > Arabic,0.8,0.0147
llama4-scout,commonsense,de,fr,500,0.984,0.982,0.002,5,4,9,0.0,1.0,False,German > French,1.25,0.0155
llama4-scout,commonsense,de,sw,500,0.984,0.986,-0.002,2,3,5,0.0,1.0,False,Swahili > German,0.6667,0.0165
llama4-scout,commonsense,de,tr,500,0.984,0.986,-0.002,2,3,5,0.0,1.0,False,Turkish > German,0.6667,0.0165
llama4-scout,commonsense,de,zh,500,0.984,0.986,-0.002,4,5,9,0.0,1.0,False,Chinese > German,0.8,0.0165
llama4-scout,commonsense,es,sw,500,0.988,0.986,0.002,4,3,7,0.0,1.0,False,Spanish > Swahili,1.3333,0.0177
llama4-scout,commonsense,es,tr,500,0.988,0.986,0.002,3,2,5,0.0,1.0,False,Spanish > Turkish,1.5,0.0177
llama4-scout,commonsense,es,zh,500,0.988,0.986,0.002,5,4,9,0.0,1.0,False,Spanish > Chinese,1.25,0.0177
llama4-scout,commonsense,fi,fr,500,0.98,0.982,-0.002,3,4,7,0.0,1.0,False,French > Finnish,0.75,0.0147
llama4-scout,commonsense,fr,hi,500,0.982,0.98,0.002,5,4,9,0.0,1.0,False,French > Hindi,1.25,0.0147
gpt-oss-120b,math,sw,zh,500,0.958,0.938,0.02,13,3,16,5.0625,0.024449,True,Swahili > Chinese,4.3333,0.0905
gpt-oss-120b,math,ar,sw,500,0.94,0.958,-0.018,2,11,13,4.9231,0.0265,True,Swahili > Arabic,0.1818,0.0821
gpt-oss-120b,math,hi,sw,500,0.94,0.958,-0.018,2,11,13,4.9231,0.0265,True,Swahili > Hindi,0.1818,0.0821
gpt-oss-120b,math,fi,zh,500,0.954,0.938,0.016,9,1,10,4.9,0.026857,True,Finnish > Chinese,9.0,0.071
gpt-oss-120b,math,es,sw,500,0.94,0.958,-0.018,3,12,15,4.2667,0.038867,True,Swahili > Spanish,0.25,0.0821
gpt-oss-120b,math,en,sw,500,0.942,0.958,-0.016,2,10,12,4.0833,0.043308,True,Swahili > English,0.2,0.0736
gpt-oss-120b,math,sw,tr,500,0.958,0.942,0.016,10,2,12,4.0833,0.043308,True,Swahili > Turkish,5.0,0.0736
gpt-oss-120b,math,es,fi,500,0.94,0.954,-0.014,1,8,9,4.0,0.0455,True,Finnish > Spanish,0.125,0.0626
gpt-oss-120b,math,fi,hi,500,0.954,0.94,0.014,8,1,9,4.0,0.0455,True,Finnish > Hindi,8.0,0.0626
gpt-oss-120b,math,ar,fi,500,0.94,0.954,-0.014,2,9,11,3.2727,0.07044,False,Finnish > Arabic,0.2222,0.0626
gpt-oss-120b,math,en,fi,500,0.942,0.954,-0.012,1,7,8,3.125,0.0771,False,Finnish > English,0.1429,0.0541
gpt-oss-120b,math,fr,zh,500,0.95,0.938,0.012,7,1,8,3.125,0.0771,False,French > Chinese,7.0,0.0523
gpt-oss-120b,math,ko,zh,500,0.95,0.938,0.012,7,1,8,3.125,0.0771,False,Korean > Chinese,7.0,0.0523
gpt-oss-120b,math,es,fr,500,0.94,0.95,-0.01,1,6,7,2.2857,0.13057,False,French > Spanish,0.1667,0.0439
gpt-oss-120b,math,es,ko,500,0.94,0.95,-0.01,1,6,7,2.2857,0.13057,False,Korean > Spanish,0.1667,0.0439
gpt-oss-120b,math,fr,hi,500,0.95,0.94,0.01,6,1,7,2.2857,0.13057,False,French > Hindi,6.0,0.0439
gpt-oss-120b,math,hi,ko,500,0.94,0.95,-0.01,1,6,7,2.2857,0.13057,False,Korean > Hindi,0.1667,0.0439
gpt-oss-120b,math,fi,tr,500,0.954,0.942,0.012,9,3,12,2.0833,0.148915,False,Finnish > Turkish,3.0,0.0541
gpt-oss-120b,math,de,zh,500,0.95,0.938,0.012,10,4,14,1.7857,0.181449,False,German > Chinese,2.5,0.0523
gpt-oss-120b,math,ar,fr,500,0.94,0.95,-0.01,2,7,9,1.7778,0.182422,False,French > Arabic,0.2857,0.0439
gpt-oss-120b,math,ar,ko,500,0.94,0.95,-0.01,2,7,9,1.7778,0.182422,False,Korean > Arabic,0.2857,0.0439
gpt-oss-120b,math,ar,de,500,0.94,0.95,-0.01,3,8,11,1.4545,0.2278,False,German > Arabic,0.375,0.0439
gpt-oss-120b,math,de,hi,500,0.95,0.94,0.01,8,3,11,1.4545,0.2278,False,German > Hindi,2.6667,0.0439
gpt-oss-120b,math,de,es,500,0.95,0.94,0.01,9,4,13,1.2308,0.267257,False,German > Spanish,2.25,0.0439
gpt-oss-120b,math,de,sw,500,0.95,0.958,-0.008,2,6,8,1.125,0.288844,False,Swahili > German,0.3333,0.0382
gpt-oss-120b,math,fr,sw,500,0.95,0.958,-0.008,2,6,8,1.125,0.288844,False,Swahili > French,0.3333,0.0382
gpt-oss-120b,math,ko,sw,500,0.95,0.958,-0.008,2,6,8,1.125,0.288844,False,Swahili > Korean,0.3333,0.0382
gpt-oss-120b,math,ko,tr,500,0.95,0.942,0.008,6,2,8,1.125,0.288844,False,Korean > Turkish,3.0,0.0354
gpt-oss-120b,math,en,ko,500,0.942,0.95,-0.008,3,7,10,0.9,0.342782,False,Korean > English,0.4286,0.0354
gpt-oss-120b,math,fr,tr,500,0.95,0.942,0.008,7,3,10,0.9,0.342782,False,French > Turkish,2.3333,0.0354
gpt-oss-120b,math,de,en,500,0.95,0.942,0.008,8,4,12,0.75,0.386476,False,German > English,2.0,0.0354
gpt-oss-120b,math,en,fr,500,0.942,0.95,-0.008,4,8,12,0.75,0.386476,False,French > English,0.5,0.0354
gpt-oss-120b,math,de,tr,500,0.95,0.942,0.008,10,6,16,0.5625,0.453255,False,German > Turkish,1.6667,0.0354
gpt-oss-120b,math,fr,ko,500,0.95,0.95,0.0,1,1,2,0.5,0.4795,False,tie,1.0,0.0
gpt-oss-120b,math,fi,fr,500,0.954,0.95,0.004,3,1,4,0.25,0.617075,False,Finnish > French,3.0,0.0187
gpt-oss-120b,math,fi,ko,500,0.954,0.95,0.004,3,1,4,0.25,0.617075,False,Finnish > Korean,3.0,0.0187
gpt-oss-120b,math,de,fr,500,0.95,0.95,0.0,3,3,6,0.1667,0.683091,False,tie,1.0,0.0
gpt-oss-120b,math,de,fi,500,0.95,0.954,-0.004,3,5,8,0.125,0.723674,False,Finnish > German,0.6,0.0187
gpt-oss-120b,math,de,ko,500,0.95,0.95,0.0,4,4,8,0.125,0.723674,False,tie,1.0,0.0
gpt-oss-120b,math,fi,sw,500,0.954,0.958,-0.004,3,5,8,0.125,0.723674,False,Swahili > Finnish,0.6,0.0195
gpt-oss-120b,math,ar,hi,500,0.94,0.94,0.0,5,5,10,0.1,0.75183,False,tie,1.0,0.0
gpt-oss-120b,math,tr,zh,500,0.942,0.938,0.004,6,4,10,0.1,0.75183,False,Turkish > Chinese,1.5,0.0168
gpt-oss-120b,math,en,zh,500,0.942,0.938,0.004,7,5,12,0.0833,0.77283,False,English > Chinese,1.4,0.0168
gpt-oss-120b,math,es,hi,500,0.94,0.94,0.0,6,6,12,0.0833,0.77283,False,tie,1.0,0.0
gpt-oss-120b,math,ar,es,500,0.94,0.94,0.0,8,8,16,0.0625,0.802587,False,tie,1.0,0.0
gpt-oss-120b,math,en,tr,500,0.942,0.942,0.0,8,8,16,0.0625,0.802587,False,tie,1.0,0.0
gpt-oss-120b,math,ar,en,500,0.94,0.942,-0.002,7,8,15,0.0,1.0,False,English > Arabic,0.875,0.0085
gpt-oss-120b,math,ar,tr,500,0.94,0.942,-0.002,5,6,11,0.0,1.0,False,Turkish > Arabic,0.8333,0.0085
gpt-oss-120b,math,ar,zh,500,0.94,0.938,0.002,5,4,9,0.0,1.0,False,Arabic > Chinese,1.25,0.0084
gpt-oss-120b,math,en,es,500,0.942,0.94,0.002,7,6,13,0.0,1.0,False,English > Spanish,1.1667,0.0085
gpt-oss-120b,math,en,hi,500,0.942,0.94,0.002,6,5,11,0.0,1.0,False,English > Hindi,1.2,0.0085
gpt-oss-120b,math,es,tr,500,0.94,0.942,-0.002,7,8,15,0.0,1.0,False,Turkish > Spanish,0.875,0.0085
gpt-oss-120b,math,es,zh,500,0.94,0.938,0.002,6,5,11,0.0,1.0,False,Spanish > Chinese,1.2,0.0084
gpt-oss-120b,math,hi,tr,500,0.94,0.942,-0.002,5,6,11,0.0,1.0,False,Turkish > Hindi,0.8333,0.0085
gpt-oss-120b,math,hi,zh,500,0.94,0.938,0.002,5,4,9,0.0,1.0,False,Hindi > Chinese,1.25,0.0084
gpt-oss-20b,math,fi,ko,500,0.93,0.952,-0.022,0,11,11,9.0909,0.002569,True,Korean > Finnish,0.0,0.0938
gpt-oss-20b,math,ko,zh,500,0.952,0.924,0.028,17,3,20,8.45,0.00365,True,Korean > Chinese,5.6667,0.1168
gpt-oss-20b,math,es,zh,500,0.948,0.924,0.024,15,3,18,6.7222,0.009522,True,Spanish > Chinese,5.0,0.0985
gpt-oss-20b,math,sw,zh,500,0.948,0.924,0.024,18,6,24,5.0417,0.024745,True,Swahili > Chinese,3.0,0.0985
gpt-oss-20b,math,de,ko,500,0.934,0.952,-0.018,2,11,13,4.9231,0.0265,True,Korean > German,0.1818,0.0779
gpt-oss-20b,math,fi,sw,500,0.93,0.948,-0.018,2,11,13,4.9231,0.0265,True,Swahili > Finnish,0.1818,0.0754
gpt-oss-20b,math,hi,zh,500,0.946,0.924,0.022,17,6,23,4.3478,0.037056,True,Hindi > Chinese,2.8333,0.0896
gpt-oss-20b,math,es,fi,500,0.948,0.93,0.018,12,3,15,4.2667,0.038867,True,Spanish > Finnish,4.0,0.0754
gpt-oss-20b,math,en,zh,500,0.942,0.924,0.018,14,5,19,3.3684,0.066457,False,English > Chinese,2.8,0.0722
gpt-oss-20b,math,fr,zh,500,0.942,0.924,0.018,14,5,19,3.3684,0.066457,False,French > Chinese,2.8,0.0722
gpt-oss-20b,math,tr,zh,500,0.942,0.924,0.018,14,5,19,3.3684,0.066457,False,Turkish > Chinese,2.8,0.0722
gpt-oss-20b,math,de,es,500,0.934,0.948,-0.014,2,9,11,3.2727,0.07044,False,Spanish > German,0.2222,0.0595
gpt-oss-20b,math,de,hi,500,0.934,0.946,-0.012,1,7,8,3.125,0.0771,False,Hindi > German,0.1429,0.0506
